,Titres,Compagnies,Villes,Regions,Heures,Type Emplois,Salaires,Salaires Max Possibles,Contrats
5836,Préposé aux glissades,Village Vacances Valcartier,Saint-Gabriel-de-Valcartier,QC,40.00 , Full time,,,Seasonal  job
5837,Fiscaliste,"Lemieux Nolet, Comptables Professionnels Agréés s.e.n.c.r.l",Lévis,QC,37.5 , Full time,,,Permanent  job
5838,"Technicien, Assurance qualité",Barrière QMB,Laval,QC,40.00 , Full time,,,"Contract , Telecommuting  job"
5839,Conseiller technique en mécanique,Excavations Tourigny inc.,Victoriaville,QC,40.00 , Full time,,,Permanent  job
5840,Dessinateur 2D en structure d'acier,Lainco inc.,Terrebonne,QC,37.5 , Full time,,,"Permanent , Telecommuting  job"
5841,Machiniste mouliste,DSD International inc.,Thetford-Mines,QC,40 , Full time,,,Permanent  job
5842,Opérateur.trice d'équipements lourds (paveuse),Les Entreprises Michaudville inc.,Montreal,QC,45 , Full time,,,Permanent  job
5843,Opérateur.trice de rouleau - pavage,Les Entreprises Michaudville inc.,Mont-Saint-Hilaire,QC,45 , Full time,,,Permanent  job
5844,Chef d'atelier de soir,Force Kia,Quebec City,QC,40.0 , Full time,70000.00,76000.00,Permanent  job
5845,détailleur/manoeuvre/opérateur,Tecno-Métal inc.,Quebec City,QC,Full time,,24.00,30.00,Permanent  job
5846,Dessinateur REVIT ventilation,TBC Constructions inc.,Brossard,QC,40 , Full time,,,"Permanent , Telecommuting  job"
5847,Mécanicien de machineries lourdes,Entreprises G.N.P. inc.,Victoriaville,QC,40.00 , Full time,,,Permanent  job
5848,Assistant(e) aux projets,LES ENTREPRISES GÉNÉREUX,Saint-Jean-de-Matha,QC,40.0 , Full time,,,Permanent  job
5849,Technicien électronique,Les Services Electro-Techno Inc.,Sherbrooke,QC,40.00 , Full time,,,Permanent  job
5850,Préposé aux glissades,Village Vacances Valcartier,Saint-Gabriel-de-Valcartier,QC,40.00 , Full time,,,Seasonal  job
5851,Fiscaliste,"Lemieux Nolet, Comptables Professionnels Agréés s.e.n.c.r.l",Lévis,QC,37.5 , Full time,,,Permanent  job
5852,Opérateur de chariot élévateur électrique,Bédard Ressources inc.,Dorval,QC,Full time,,26.77,28.60,Permanent  job
5853,Chef mécanicien,Excavations Tourigny inc.,Victoriaville,QC,40.00 , Full time,32.00,39.00,Permanent  job
5854,Dessinateur 2D en structure d'acier,Lainco inc.,Terrebonne,QC,37.5 , Full time,,,"Permanent , Telecommuting  job"
5855,Machiniste mouliste,DSD International inc.,Thetford-Mines,QC,40 , Full time,,,Permanent  job
5856,Opérateur.trice d'équipements lourds (paveuse),Les Entreprises Michaudville inc.,Montreal,QC,45 , Full time,,,Permanent  job
5857,Opérateur.trice de rouleau - pavage,Les Entreprises Michaudville inc.,Mont-Saint-Hilaire,QC,45 , Full time,,,Permanent  job
5858,Chef d'atelier de soir,Force Kia,Quebec City,QC,40.0 , Full time,70000.00,76000.00,Permanent  job
5859,détailleur/manoeuvre/opérateur,Tecno-Métal inc.,Quebec City,QC,Full time,,24.00,30.00,Permanent  job
5860,Dessinateur REVIT ventilation,TBC Constructions inc.,Brossard,QC,40 , Full time,,,"Permanent , Telecommuting  job"
5861,Mécanicien de machineries lourdes,Entreprises G.N.P. inc.,Victoriaville,QC,40.00 , Full time,,,Permanent  job
5862,Assistant(e) aux projets,LES ENTREPRISES GÉNÉREUX,Saint-Jean-de-Matha,QC,40.0 , Full time,,,Permanent  job
5863,Technicien électronique,Les Services Electro-Techno Inc.,Sherbrooke,QC,40.00 , Full time,,,Permanent  job
5864,Préposé aux glissades,Village Vacances Valcartier,Saint-Gabriel-de-Valcartier,QC,40.00 , Full time,,,Seasonal  job
5865,Fiscaliste,"Lemieux Nolet, Comptables Professionnels Agréés s.e.n.c.r.l",Lévis,QC,37.5 , Full time,,,Permanent  job
5866,"Recherche Adjointe administrative, 23$/heure / 3 semaines de vacances/ médecin 24/7",Groupe Somr Inc.,Trois-Rivières,QC,40.00 , Full time,23.00,,Permanent  job
5867,Approvisionneur,Excavations Tourigny inc.,Bécancour,QC,40.00 , Full time,,,Permanent  job
5868,Dessinateur 2D en structure d'acier,Lainco inc.,Terrebonne,QC,37.5 , Full time,,,"Permanent , Telecommuting  job"
5869,Machiniste mouliste,DSD International inc.,Thetford-Mines,QC,40 , Full time,,,Permanent  job
5870,Opérateur.trice d'équipements lourds (paveuse),Les Entreprises Michaudville inc.,Montreal,QC,45 , Full time,,,Permanent  job
5871,Opérateur.trice de rouleau - pavage,Les Entreprises Michaudville inc.,Mont-Saint-Hilaire,QC,45 , Full time,,,Permanent  job
5872,Chef d'atelier de soir,Force Kia,Quebec City,QC,40.0 , Full time,70000.00,76000.00,Permanent  job
5873,détailleur/manoeuvre/opérateur,Tecno-Métal inc.,Quebec City,QC,Full time,,24.00,30.00,Permanent  job
5874,Dessinateur REVIT ventilation,TBC Constructions inc.,Brossard,QC,40 , Full time,,,"Permanent , Telecommuting  job"
5875,Mécanicien de machineries lourdes,Entreprises G.N.P. inc.,Victoriaville,QC,40.00 , Full time,,,Permanent  job
5876,Assistant(e) aux projets,LES ENTREPRISES GÉNÉREUX,Saint-Jean-de-Matha,QC,40.0 , Full time,,,Permanent  job
5877,Technicien électronique,Les Services Electro-Techno Inc.,Sherbrooke,QC,40.00 , Full time,,,Permanent  job
5878,Préposé aux glissades,Village Vacances Valcartier,Saint-Gabriel-de-Valcartier,QC,40.00 , Full time,,,Seasonal  job
5879,Fiscaliste,"Lemieux Nolet, Comptables Professionnels Agréés s.e.n.c.r.l",Lévis,QC,37.5 , Full time,,,Permanent  job
5880,Responsable de la paie,Les Constructions Edguy Inc.,Sainte-Marie,QC,40.0 , Full time,,,"Contract , Permanent  job"
5881,Mécanicien industriel,Compagnie WestRock du Canada Corp.,Warwick,QC,40.00 , Full time,27.00,35.59,Permanent  job
5882,Dessinateur 2D en structure d'acier,Lainco inc.,Terrebonne,QC,37.5 , Full time,,,"Permanent , Telecommuting  job"
5883,Machiniste mouliste,DSD International inc.,Thetford-Mines,QC,40 , Full time,,,Permanent  job
5884,Opérateur.trice d'équipements lourds (paveuse),Les Entreprises Michaudville inc.,Montreal,QC,45 , Full time,,,Permanent  job
5885,Opérateur.trice de rouleau - pavage,Les Entreprises Michaudville inc.,Mont-Saint-Hilaire,QC,45 , Full time,,,Permanent  job
5886,Chef d'atelier de soir,Force Kia,Quebec City,QC,40.0 , Full time,70000.00,76000.00,Permanent  job
5887,détailleur/manoeuvre/opérateur,Tecno-Métal inc.,Quebec City,QC,Full time,,24.00,30.00,Permanent  job
5888,Dessinateur REVIT ventilation,TBC Constructions inc.,Brossard,QC,40 , Full time,,,"Permanent , Telecommuting  job"
5889,Mécanicien de machineries lourdes,Entreprises G.N.P. inc.,Victoriaville,QC,40.00 , Full time,,,Permanent  job
5890,Assistant(e) aux projets,LES ENTREPRISES GÉNÉREUX,Saint-Jean-de-Matha,QC,40.0 , Full time,,,Permanent  job
5891,Technicien électronique,Les Services Electro-Techno Inc.,Sherbrooke,QC,40.00 , Full time,,,Permanent  job
5892,Préposé aux glissades,Village Vacances Valcartier,Saint-Gabriel-de-Valcartier,QC,40.00 , Full time,,,Seasonal  job
5893,Fiscaliste,"Lemieux Nolet, Comptables Professionnels Agréés s.e.n.c.r.l",Lévis,QC,37.5 , Full time,,,Permanent  job
5894,Parts Clerk,Phaneuf Agricultural Equipment,La Durantaye,QC,40 , Full time,,,"Permanent , Unpaid internship  job"
5895,Préposé restauration rapide,Village Vacances Valcartier,Saint-Gabriel-de-Valcartier,QC,40.0 ," Full time , Part time",15.25,16.84,"Permanent , Seasonal , Student employment  job"
5896,Dessinateur 2D en structure d'acier,Lainco inc.,Terrebonne,QC,37.5 , Full time,,,"Permanent , Telecommuting  job"
5897,Machiniste mouliste,DSD International inc.,Thetford-Mines,QC,40 , Full time,,,Permanent  job
5898,Opérateur.trice d'équipements lourds (paveuse),Les Entreprises Michaudville inc.,Montreal,QC,45 , Full time,,,Permanent  job
5899,Opérateur.trice de rouleau - pavage,Les Entreprises Michaudville inc.,Mont-Saint-Hilaire,QC,45 , Full time,,,Permanent  job
5900,Chef d'atelier de soir,Force Kia,Quebec City,QC,40.0 , Full time,70000.00,76000.00,Permanent  job
5901,détailleur/manoeuvre/opérateur,Tecno-Métal inc.,Quebec City,QC,Full time,,24.00,30.00,Permanent  job
5902,Dessinateur REVIT ventilation,TBC Constructions inc.,Brossard,QC,40 , Full time,,,"Permanent , Telecommuting  job"
5903,Mécanicien de machineries lourdes,Entreprises G.N.P. inc.,Victoriaville,QC,40.00 , Full time,,,Permanent  job
5904,Assistant(e) aux projets,LES ENTREPRISES GÉNÉREUX,Saint-Jean-de-Matha,QC,40.0 , Full time,,,Permanent  job
5905,Technicien électronique,Les Services Electro-Techno Inc.,Sherbrooke,QC,40.00 , Full time,,,Permanent  job
5906,Préposé aux glissades,Village Vacances Valcartier,Saint-Gabriel-de-Valcartier,QC,40.00 , Full time,,,Seasonal  job
5907,Fiscaliste,"Lemieux Nolet, Comptables Professionnels Agréés s.e.n.c.r.l",Lévis,QC,37.5 , Full time,,,Permanent  job
5908,"Recherche Adjointe administrative, 23$/heure / 3 semaines de vacances/ médecin 24/7",Groupe Somr Inc.,Trois-Rivières,QC,40.00 , Full time,23.00,,Permanent  job
5909,Approvisionneur,Excavations Tourigny inc.,Bécancour,QC,40.00 , Full time,,,Permanent  job
5910,Dessinateur 2D en structure d'acier,Lainco inc.,Terrebonne,QC,37.5 , Full time,,,"Permanent , Telecommuting  job"
5911,Machiniste mouliste,DSD International inc.,Thetford-Mines,QC,40 , Full time,,,Permanent  job
5912,Opérateur.trice d'équipements lourds (paveuse),Les Entreprises Michaudville inc.,Montreal,QC,45 , Full time,,,Permanent  job
5913,Opérateur.trice de rouleau - pavage,Les Entreprises Michaudville inc.,Mont-Saint-Hilaire,QC,45 , Full time,,,Permanent  job
5914,Chef d'atelier de soir,Force Kia,Quebec City,QC,40.0 , Full time,70000.00,76000.00,Permanent  job
5915,détailleur/manoeuvre/opérateur,Tecno-Métal inc.,Quebec City,QC,Full time,,24.00,30.00,Permanent  job
5916,Dessinateur REVIT ventilation,TBC Constructions inc.,Brossard,QC,40 , Full time,,,"Permanent , Telecommuting  job"
5917,Mécanicien de machineries lourdes,Entreprises G.N.P. inc.,Victoriaville,QC,40.00 , Full time,,,Permanent  job
5918,Assistant(e) aux projets,LES ENTREPRISES GÉNÉREUX,Saint-Jean-de-Matha,QC,40.0 , Full time,,,Permanent  job
5919,Technicien électronique,Les Services Electro-Techno Inc.,Sherbrooke,QC,40.00 , Full time,,,Permanent  job
5920,Préposé aux glissades,Village Vacances Valcartier,Saint-Gabriel-de-Valcartier,QC,40.00 , Full time,,,Seasonal  job
5921,Fiscaliste,"Lemieux Nolet, Comptables Professionnels Agréés s.e.n.c.r.l",Lévis,QC,37.5 , Full time,,,Permanent  job
5922,Technicienne - technicien en administration - comptabilité,Sœurs des Saints Noms de Jésus et de Marie (SNJM),Longueuil,QC,Part time,,26.00,30.00,Permanent  job
5923,Chargé de projet,Barrière QMB,Laval,QC,40.00 , Full time,,,"Permanent , Telecommuting  job"
5924,Dessinateur 2D en structure d'acier,Lainco inc.,Terrebonne,QC,37.5 , Full time,,,"Permanent , Telecommuting  job"
5925,Machiniste mouliste,DSD International inc.,Thetford-Mines,QC,40 , Full time,,,Permanent  job
5926,Opérateur.trice d'équipements lourds (paveuse),Les Entreprises Michaudville inc.,Montreal,QC,45 , Full time,,,Permanent  job
5927,Opérateur.trice de rouleau - pavage,Les Entreprises Michaudville inc.,Mont-Saint-Hilaire,QC,45 , Full time,,,Permanent  job
5928,Chef d'atelier de soir,Force Kia,Quebec City,QC,40.0 , Full time,70000.00,76000.00,Permanent  job
5929,détailleur/manoeuvre/opérateur,Tecno-Métal inc.,Quebec City,QC,Full time,,24.00,30.00,Permanent  job
5930,Dessinateur REVIT ventilation,TBC Constructions inc.,Brossard,QC,40 , Full time,,,"Permanent , Telecommuting  job"
5931,Mécanicien de machineries lourdes,Entreprises G.N.P. inc.,Victoriaville,QC,40.00 , Full time,,,Permanent  job
5932,Assistant(e) aux projets,LES ENTREPRISES GÉNÉREUX,Saint-Jean-de-Matha,QC,40.0 , Full time,,,Permanent  job
5933,Technicien électronique,Les Services Electro-Techno Inc.,Sherbrooke,QC,40.00 , Full time,,,Permanent  job
5934,Préposé aux glissades,Village Vacances Valcartier,Saint-Gabriel-de-Valcartier,QC,40.00 , Full time,,,Seasonal  job
5935,Fiscaliste,"Lemieux Nolet, Comptables Professionnels Agréés s.e.n.c.r.l",Lévis,QC,37.5 , Full time,,,Permanent  job
5936,Mécanicien industriel,Fonderie Bibby Ste-Croix / Laperle,Sainte-Croix,QC,40 , Full time,35.69,,Permanent  job
5937,Électromécanicien - soir 4 X 10 heures,Compagnie WestRock du Canada Corp.,Sainte-Marie,QC,Full time,,33.27,,Permanent  job
5938,Dessinateur 2D en structure d'acier,Lainco inc.,Terrebonne,QC,37.5 , Full time,,,"Permanent , Telecommuting  job"
5939,Machiniste mouliste,DSD International inc.,Thetford-Mines,QC,40 , Full time,,,Permanent  job
5940,Opérateur.trice d'équipements lourds (paveuse),Les Entreprises Michaudville inc.,Montreal,QC,45 , Full time,,,Permanent  job
5941,Opérateur.trice de rouleau - pavage,Les Entreprises Michaudville inc.,Mont-Saint-Hilaire,QC,45 , Full time,,,Permanent  job
5942,Chef d'atelier de soir,Force Kia,Quebec City,QC,40.0 , Full time,70000.00,76000.00,Permanent  job
5943,détailleur/manoeuvre/opérateur,Tecno-Métal inc.,Quebec City,QC,Full time,,24.00,30.00,Permanent  job
5944,Dessinateur REVIT ventilation,TBC Constructions inc.,Brossard,QC,40 , Full time,,,"Permanent , Telecommuting  job"
5945,Mécanicien de machineries lourdes,Entreprises G.N.P. inc.,Victoriaville,QC,40.00 , Full time,,,Permanent  job
5946,Assistant(e) aux projets,LES ENTREPRISES GÉNÉREUX,Saint-Jean-de-Matha,QC,40.0 , Full time,,,Permanent  job
5947,Technicien électronique,Les Services Electro-Techno Inc.,Sherbrooke,QC,40.00 , Full time,,,Permanent  job
5948,Préposé aux glissades,Village Vacances Valcartier,Saint-Gabriel-de-Valcartier,QC,40.00 , Full time,,,Seasonal  job
5949,Fiscaliste,"Lemieux Nolet, Comptables Professionnels Agréés s.e.n.c.r.l",Lévis,QC,37.5 , Full time,,,Permanent  job
5950,Administrateur Microsoft 365,Familiprix inc.,Quebec City,QC,37.50 , Full time,,,"Permanent , Telecommuting  job"
5951,Chef mécanicien,Excavations Tourigny inc.,Victoriaville,QC,40.00 , Full time,32.00,39.00,Permanent  job
5952,Dessinateur 2D en structure d'acier,Lainco inc.,Terrebonne,QC,37.5 , Full time,,,"Permanent , Telecommuting  job"
5953,Machiniste mouliste,DSD International inc.,Thetford-Mines,QC,40 , Full time,,,Permanent  job
5954,Opérateur.trice d'équipements lourds (paveuse),Les Entreprises Michaudville inc.,Montreal,QC,45 , Full time,,,Permanent  job
5955,Opérateur.trice de rouleau - pavage,Les Entreprises Michaudville inc.,Mont-Saint-Hilaire,QC,45 , Full time,,,Permanent  job
5956,Chef d'atelier de soir,Force Kia,Quebec City,QC,40.0 , Full time,70000.00,76000.00,Permanent  job
5957,détailleur/manoeuvre/opérateur,Tecno-Métal inc.,Quebec City,QC,Full time,,24.00,30.00,Permanent  job
5958,Dessinateur REVIT ventilation,TBC Constructions inc.,Brossard,QC,40 , Full time,,,"Permanent , Telecommuting  job"
5959,Mécanicien de machineries lourdes,Entreprises G.N.P. inc.,Victoriaville,QC,40.00 , Full time,,,Permanent  job
5960,Assistant(e) aux projets,LES ENTREPRISES GÉNÉREUX,Saint-Jean-de-Matha,QC,40.0 , Full time,,,Permanent  job
5961,Technicien électronique,Les Services Electro-Techno Inc.,Sherbrooke,QC,40.00 , Full time,,,Permanent  job
5962,Préposé aux glissades,Village Vacances Valcartier,Saint-Gabriel-de-Valcartier,QC,40.00 , Full time,,,Seasonal  job
5963,Fiscaliste,"Lemieux Nolet, Comptables Professionnels Agréés s.e.n.c.r.l",Lévis,QC,37.5 , Full time,,,Permanent  job
5964,Warehouse Team Leader,Bédard Ressources inc.,Langley,BC,Full time,,25.00,26.00,Permanent  job
5965,Assistant(e)-gérant de librairie,Renaud-Bray,Boisbriand,QC,Full time,,,,Permanent  job
5966,Dessinateur 2D en structure d'acier,Lainco inc.,Terrebonne,QC,37.5 , Full time,,,"Permanent , Telecommuting  job"
5967,Machiniste mouliste,DSD International inc.,Thetford-Mines,QC,40 , Full time,,,Permanent  job
5968,Opérateur.trice d'équipements lourds (paveuse),Les Entreprises Michaudville inc.,Montreal,QC,45 , Full time,,,Permanent  job
5969,Opérateur.trice de rouleau - pavage,Les Entreprises Michaudville inc.,Mont-Saint-Hilaire,QC,45 , Full time,,,Permanent  job
5970,Chef d'atelier de soir,Force Kia,Quebec City,QC,40.0 , Full time,70000.00,76000.00,Permanent  job
5971,détailleur/manoeuvre/opérateur,Tecno-Métal inc.,Quebec City,QC,Full time,,24.00,30.00,Permanent  job
5972,Dessinateur REVIT ventilation,TBC Constructions inc.,Brossard,QC,40 , Full time,,,"Permanent , Telecommuting  job"
5973,Mécanicien de machineries lourdes,Entreprises G.N.P. inc.,Victoriaville,QC,40.00 , Full time,,,Permanent  job
5974,Assistant(e) aux projets,LES ENTREPRISES GÉNÉREUX,Saint-Jean-de-Matha,QC,40.0 , Full time,,,Permanent  job
5975,Technicien électronique,Les Services Electro-Techno Inc.,Sherbrooke,QC,40.00 , Full time,,,Permanent  job
5976,Préposé aux glissades,Village Vacances Valcartier,Saint-Gabriel-de-Valcartier,QC,40.00 , Full time,,,Seasonal  job
5977,Fiscaliste,"Lemieux Nolet, Comptables Professionnels Agréés s.e.n.c.r.l",Lévis,QC,37.5 , Full time,,,Permanent  job
5978,Intensive Case Management Worker – Health Navigation at 22 Metropolitan Rd,Homes First,Toronto,ON,37.50 , Full time,25.57,,Permanent  job
5979,Préposé(e) à la maintenance,Logisco,Quebec City,QC,37.50 , Full time,,,Permanent  job
5980,Dessinateur 2D en structure d'acier,Lainco inc.,Terrebonne,QC,37.5 , Full time,,,"Permanent , Telecommuting  job"
5981,Machiniste mouliste,DSD International inc.,Thetford-Mines,QC,40 , Full time,,,Permanent  job
5982,Opérateur.trice d'équipements lourds (paveuse),Les Entreprises Michaudville inc.,Montreal,QC,45 , Full time,,,Permanent  job
5983,Opérateur.trice de rouleau - pavage,Les Entreprises Michaudville inc.,Mont-Saint-Hilaire,QC,45 , Full time,,,Permanent  job
5984,Chef d'atelier de soir,Force Kia,Quebec City,QC,40.0 , Full time,70000.00,76000.00,Permanent  job
5985,détailleur/manoeuvre/opérateur,Tecno-Métal inc.,Quebec City,QC,Full time,,24.00,30.00,Permanent  job
5986,Dessinateur REVIT ventilation,TBC Constructions inc.,Brossard,QC,40 , Full time,,,"Permanent , Telecommuting  job"
5987,Mécanicien de machineries lourdes,Entreprises G.N.P. inc.,Victoriaville,QC,40.00 , Full time,,,Permanent  job
5988,Assistant(e) aux projets,LES ENTREPRISES GÉNÉREUX,Saint-Jean-de-Matha,QC,40.0 , Full time,,,Permanent  job
5989,Technicien électronique,Les Services Electro-Techno Inc.,Sherbrooke,QC,40.00 , Full time,,,Permanent  job
5990,Préposé aux glissades,Village Vacances Valcartier,Saint-Gabriel-de-Valcartier,QC,40.00 , Full time,,,Seasonal  job
5991,Fiscaliste,"Lemieux Nolet, Comptables Professionnels Agréés s.e.n.c.r.l",Lévis,QC,37.5 , Full time,,,Permanent  job
5992,Préposé en maintenance de bâtiments,Village Vacances Valcartier,Saint-Gabriel-de-Valcartier,QC,40.0 ," Full time , Part time",22.25,25.00,"Casual , Permanent , Seasonal  job"
5993,Parts Clerk,Phaneuf Agricultural Equipment,La Durantaye,QC,40 , Full time,,,"Permanent , Unpaid internship  job"
5994,Dessinateur 2D en structure d'acier,Lainco inc.,Terrebonne,QC,37.5 , Full time,,,"Permanent , Telecommuting  job"
5995,Machiniste mouliste,DSD International inc.,Thetford-Mines,QC,40 , Full time,,,Permanent  job
5996,Opérateur.trice d'équipements lourds (paveuse),Les Entreprises Michaudville inc.,Montreal,QC,45 , Full time,,,Permanent  job
5997,Opérateur.trice de rouleau - pavage,Les Entreprises Michaudville inc.,Mont-Saint-Hilaire,QC,45 , Full time,,,Permanent  job
5998,Chef d'atelier de soir,Force Kia,Quebec City,QC,40.0 , Full time,70000.00,76000.00,Permanent  job
5999,détailleur/manoeuvre/opérateur,Tecno-Métal inc.,Quebec City,QC,Full time,,24.00,30.00,Permanent  job
6000,Dessinateur REVIT ventilation,TBC Constructions inc.,Brossard,QC,40 , Full time,,,"Permanent , Telecommuting  job"
6001,Mécanicien de machineries lourdes,Entreprises G.N.P. inc.,Victoriaville,QC,40.00 , Full time,,,Permanent  job
6002,Assistant(e) aux projets,LES ENTREPRISES GÉNÉREUX,Saint-Jean-de-Matha,QC,40.0 , Full time,,,Permanent  job
6003,Technicien électronique,Les Services Electro-Techno Inc.,Sherbrooke,QC,40.00 , Full time,,,Permanent  job
6004,Préposé aux glissades,Village Vacances Valcartier,Saint-Gabriel-de-Valcartier,QC,40.00 , Full time,,,Seasonal  job
6005,Fiscaliste,"Lemieux Nolet, Comptables Professionnels Agréés s.e.n.c.r.l",Lévis,QC,37.5 , Full time,,,Permanent  job
6006,Administrateur Microsoft 365,Familiprix inc.,Quebec City,QC,37.50 , Full time,,,"Permanent , Telecommuting  job"
6007,Préposé restauration rapide,Village Vacances Valcartier,Saint-Gabriel-de-Valcartier,QC,40.0 ," Full time , Part time",15.25,16.84,"Permanent , Seasonal , Student employment  job"
6008,Dessinateur 2D en structure d'acier,Lainco inc.,Terrebonne,QC,37.5 , Full time,,,"Permanent , Telecommuting  job"
6009,Machiniste mouliste,DSD International inc.,Thetford-Mines,QC,40 , Full time,,,Permanent  job
6010,Opérateur.trice d'équipements lourds (paveuse),Les Entreprises Michaudville inc.,Montreal,QC,45 , Full time,,,Permanent  job
6011,Opérateur.trice de rouleau - pavage,Les Entreprises Michaudville inc.,Mont-Saint-Hilaire,QC,45 , Full time,,,Permanent  job
6012,Chef d'atelier de soir,Force Kia,Quebec City,QC,40.0 , Full time,70000.00,76000.00,Permanent  job
6013,détailleur/manoeuvre/opérateur,Tecno-Métal inc.,Quebec City,QC,Full time,,24.00,30.00,Permanent  job
6014,Dessinateur REVIT ventilation,TBC Constructions inc.,Brossard,QC,40 , Full time,,,"Permanent , Telecommuting  job"
6015,Mécanicien de machineries lourdes,Entreprises G.N.P. inc.,Victoriaville,QC,40.00 , Full time,,,Permanent  job
6016,Assistant(e) aux projets,LES ENTREPRISES GÉNÉREUX,Saint-Jean-de-Matha,QC,40.0 , Full time,,,Permanent  job
6017,Technicien électronique,Les Services Electro-Techno Inc.,Sherbrooke,QC,40.00 , Full time,,,Permanent  job
6018,Préposé aux glissades,Village Vacances Valcartier,Saint-Gabriel-de-Valcartier,QC,40.00 , Full time,,,Seasonal  job
6019,Fiscaliste,"Lemieux Nolet, Comptables Professionnels Agréés s.e.n.c.r.l",Lévis,QC,37.5 , Full time,,,Permanent  job
6020,Order Picker Team Leader,Bédard Ressources inc.,Laval,QC,Full time,,24.00,26.00,Contract  job
6021,Chauffeur - classe 1,Transport Grayson inc.,Danville,QC,60.0 , Full time,,,Permanent  job
6022,Dessinateur 2D en structure d'acier,Lainco inc.,Terrebonne,QC,37.5 , Full time,,,"Permanent , Telecommuting  job"
6023,Machiniste mouliste,DSD International inc.,Thetford-Mines,QC,40 , Full time,,,Permanent  job
6024,Opérateur.trice d'équipements lourds (paveuse),Les Entreprises Michaudville inc.,Montreal,QC,45 , Full time,,,Permanent  job
6025,Opérateur.trice de rouleau - pavage,Les Entreprises Michaudville inc.,Mont-Saint-Hilaire,QC,45 , Full time,,,Permanent  job
6026,Chef d'atelier de soir,Force Kia,Quebec City,QC,40.0 , Full time,70000.00,76000.00,Permanent  job
6027,détailleur/manoeuvre/opérateur,Tecno-Métal inc.,Quebec City,QC,Full time,,24.00,30.00,Permanent  job
6028,Dessinateur REVIT ventilation,TBC Constructions inc.,Brossard,QC,40 , Full time,,,"Permanent , Telecommuting  job"
6029,Mécanicien de machineries lourdes,Entreprises G.N.P. inc.,Victoriaville,QC,40.00 , Full time,,,Permanent  job
6030,Assistant(e) aux projets,LES ENTREPRISES GÉNÉREUX,Saint-Jean-de-Matha,QC,40.0 , Full time,,,Permanent  job
6031,Technicien électronique,Les Services Electro-Techno Inc.,Sherbrooke,QC,40.00 , Full time,,,Permanent  job
6032,Préposé aux glissades,Village Vacances Valcartier,Saint-Gabriel-de-Valcartier,QC,40.00 , Full time,,,Seasonal  job
6033,Fiscaliste,"Lemieux Nolet, Comptables Professionnels Agréés s.e.n.c.r.l",Lévis,QC,37.5 , Full time,,,Permanent  job
6034,Approvisionneur,Excavations Tourigny inc.,Bécancour,QC,40.00 , Full time,,,Permanent  job
6035,Préposé(e) à la maintenance,Logisco,Quebec City,QC,37.50 , Full time,,,Permanent  job
6036,Dessinateur 2D en structure d'acier,Lainco inc.,Terrebonne,QC,37.5 , Full time,,,"Permanent , Telecommuting  job"
6037,Machiniste mouliste,DSD International inc.,Thetford-Mines,QC,40 , Full time,,,Permanent  job
6038,Opérateur.trice d'équipements lourds (paveuse),Les Entreprises Michaudville inc.,Montreal,QC,45 , Full time,,,Permanent  job
6039,Opérateur.trice de rouleau - pavage,Les Entreprises Michaudville inc.,Mont-Saint-Hilaire,QC,45 , Full time,,,Permanent  job
6040,Chef d'atelier de soir,Force Kia,Quebec City,QC,40.0 , Full time,70000.00,76000.00,Permanent  job
6041,détailleur/manoeuvre/opérateur,Tecno-Métal inc.,Quebec City,QC,Full time,,24.00,30.00,Permanent  job
6042,Dessinateur REVIT ventilation,TBC Constructions inc.,Brossard,QC,40 , Full time,,,"Permanent , Telecommuting  job"
6043,Mécanicien de machineries lourdes,Entreprises G.N.P. inc.,Victoriaville,QC,40.00 , Full time,,,Permanent  job
6044,Assistant(e) aux projets,LES ENTREPRISES GÉNÉREUX,Saint-Jean-de-Matha,QC,40.0 , Full time,,,Permanent  job
6045,Technicien électronique,Les Services Electro-Techno Inc.,Sherbrooke,QC,40.00 , Full time,,,Permanent  job
6046,Préposé aux glissades,Village Vacances Valcartier,Saint-Gabriel-de-Valcartier,QC,40.00 , Full time,,,Seasonal  job
6047,Fiscaliste,"Lemieux Nolet, Comptables Professionnels Agréés s.e.n.c.r.l",Lévis,QC,37.5 , Full time,,,Permanent  job
6048,Administrateur système - infrastructure et sécurité,Ville de Bécancour,Bécancour,QC,32.50 , Full time,33.88,39.86,"Permanent , Telecommuting  job"
6049,Électricien industriel,Compagnie WestRock du Canada Corp.,Warwick,QC,40 , Full time,28.00,35.59,Permanent  job
6050,Dessinateur 2D en structure d'acier,Lainco inc.,Terrebonne,QC,37.5 , Full time,,,"Permanent , Telecommuting  job"
6051,Machiniste mouliste,DSD International inc.,Thetford-Mines,QC,40 , Full time,,,Permanent  job
6052,Opérateur.trice d'équipements lourds (paveuse),Les Entreprises Michaudville inc.,Montreal,QC,45 , Full time,,,Permanent  job
6053,Opérateur.trice de rouleau - pavage,Les Entreprises Michaudville inc.,Mont-Saint-Hilaire,QC,45 , Full time,,,Permanent  job
6054,Chef d'atelier de soir,Force Kia,Quebec City,QC,40.0 , Full time,70000.00,76000.00,Permanent  job
6055,détailleur/manoeuvre/opérateur,Tecno-Métal inc.,Quebec City,QC,Full time,,24.00,30.00,Permanent  job
6056,Dessinateur REVIT ventilation,TBC Constructions inc.,Brossard,QC,40 , Full time,,,"Permanent , Telecommuting  job"
