,Titres,Compagnies,Villes,Regions,Heures,Type Emplois,Salaires,Salaires Max Possibles,Contrats
2337,Fiscaliste,"Lemieux Nolet, Comptables Professionnels Agréés s.e.n.c.r.l",Lévis,QC,37.5 , Full time,,,Permanent  job
2338,"Recherche Adjointe administrative, 23$/heure / 3 semaines de vacances/ médecin 24/7",Groupe Somr Inc.,Trois-Rivières,QC,40.00 , Full time,23.00,,Permanent  job
2339,Order Picker Team Leader,Bédard Ressources inc.,Laval,QC,Full time,,24.00,26.00,Contract  job
2340,Dessinateur 2D en structure d'acier,Lainco inc.,Terrebonne,QC,37.5 , Full time,,,"Permanent , Telecommuting  job"
2341,Machiniste mouliste,DSD International inc.,Thetford-Mines,QC,40 , Full time,,,Permanent  job
2342,Opérateur.trice d'équipements lourds (paveuse),Les Entreprises Michaudville inc.,Montreal,QC,45 , Full time,,,Permanent  job
2343,Opérateur.trice de rouleau - pavage,Les Entreprises Michaudville inc.,Mont-Saint-Hilaire,QC,45 , Full time,,,Permanent  job
2344,Chef d'atelier de soir,Force Kia,Quebec City,QC,40.0 , Full time,70000.00,76000.00,Permanent  job
2345,détailleur/manoeuvre/opérateur,Tecno-Métal inc.,Quebec City,QC,Full time,,24.00,30.00,Permanent  job
2346,Dessinateur REVIT ventilation,TBC Constructions inc.,Brossard,QC,40 , Full time,,,"Permanent , Telecommuting  job"
2347,Mécanicien de machineries lourdes,Entreprises G.N.P. inc.,Victoriaville,QC,40.00 , Full time,,,Permanent  job
2348,Assistant(e) aux projets,LES ENTREPRISES GÉNÉREUX,Saint-Jean-de-Matha,QC,40.0 , Full time,,,Permanent  job
2349,Technicien électronique,Les Services Electro-Techno Inc.,Sherbrooke,QC,40.00 , Full time,,,Permanent  job
2350,Préposé aux glissades,Village Vacances Valcartier,Saint-Gabriel-de-Valcartier,QC,40.00 , Full time,,,Seasonal  job
2351,Fiscaliste,"Lemieux Nolet, Comptables Professionnels Agréés s.e.n.c.r.l",Lévis,QC,37.5 , Full time,,,Permanent  job
2352,Technicienne - technicien en administration - comptabilité,Sœurs des Saints Noms de Jésus et de Marie (SNJM),Longueuil,QC,Part time,,26.00,30.00,Permanent  job
2353,Préposé(e) à la maintenance,Logisco,Quebec City,QC,37.50 , Full time,,,Permanent  job
2354,Dessinateur 2D en structure d'acier,Lainco inc.,Terrebonne,QC,37.5 , Full time,,,"Permanent , Telecommuting  job"
2355,Machiniste mouliste,DSD International inc.,Thetford-Mines,QC,40 , Full time,,,Permanent  job
2356,Opérateur.trice d'équipements lourds (paveuse),Les Entreprises Michaudville inc.,Montreal,QC,45 , Full time,,,Permanent  job
2357,Opérateur.trice de rouleau - pavage,Les Entreprises Michaudville inc.,Mont-Saint-Hilaire,QC,45 , Full time,,,Permanent  job
2358,Chef d'atelier de soir,Force Kia,Quebec City,QC,40.0 , Full time,70000.00,76000.00,Permanent  job
2359,détailleur/manoeuvre/opérateur,Tecno-Métal inc.,Quebec City,QC,Full time,,24.00,30.00,Permanent  job
2360,Dessinateur REVIT ventilation,TBC Constructions inc.,Brossard,QC,40 , Full time,,,"Permanent , Telecommuting  job"
2361,Mécanicien de machineries lourdes,Entreprises G.N.P. inc.,Victoriaville,QC,40.00 , Full time,,,Permanent  job
2362,Assistant(e) aux projets,LES ENTREPRISES GÉNÉREUX,Saint-Jean-de-Matha,QC,40.0 , Full time,,,Permanent  job
